year_month,district_name,market_name,commodity,variety,grade,min_price,max_price,modal_price,price_date,year_month
2020-12,Agra,Achnera,Potato,Desi,FAQ,900,1000,950,2020-12-30,2020-12
2020-12,Agra,Achnera,Potato,Desi,FAQ,800,900,850,2020-12-29,2020-12
2020-12,Agra,Achnera,Potato,Desi,FAQ,850,950,900,2020-12-28,2020-12
2020-12,Agra,Achnera,Potato,Desi,FAQ,800,900,850,2020-12-27,2020-12
2020-12,Agra,Achnera,Potato,Desi,FAQ,800,900,850,2020-12-26,2020-12
2020-12,Agra,Achnera,Potato,Desi,FAQ,800,900,850,2020-12-25,2020-12
2020-12,Agra,Achnera,Potato,Desi,FAQ,950,1050,1000,2020-12-23,2020-12
2020-12,Agra,Achnera,Potato,Desi,FAQ,820,920,870,2020-12-22,2020-12
2020-12,Agra,Achnera,Potato,Desi,FAQ,800,900,850,2020-12-21,2020-12
2020-12,Agra,Achnera,Potato,Desi,FAQ,800,900,850,2020-12-20,2020-12
2020-12,Agra,Achnera,Potato,Desi,FAQ,950,1050,1000,2020-12-19,2020-12
2020-12,Agra,Achnera,Potato,Desi,FAQ,1000,1100,1050,2020-12-18,2020-12
2020-12,Agra,Achnera,Potato,Desi,FAQ,1350,1450,1400,2020-12-16,2020-12
2020-12,Agra,Achnera,Potato,Desi,FAQ,1400,1500,1450,2020-12-15,2020-12
2020-12,Agra,Achnera,Potato,Desi,FAQ,1700,1800,1750,2020-12-14,2020-12
2020-12,Agra,Achnera,Potato,Desi,FAQ,1700,1800,1750,2020-12-13,2020-12
2020-12,Agra,Achnera,Potato,Desi,FAQ,1650,1750,1700,2020-12-12,2020-12
2020-12,Agra,Achnera,Potato,Desi,FAQ,2000,2100,2050,2020-12-11,2020-12
2020-12,Agra,Achnera,Potato,Desi,FAQ,2300,2400,2350,2020-12-09,2020-12
2020-12,Agra,Achnera,Potato,Desi,FAQ,2350,2450,2400,2020-12-08,2020-12
2020-12,Agra,Achnera,Potato,Desi,FAQ,2550,2650,2600,2020-12-07,2020-12
2020-12,Agra,Achnera,Potato,Desi,FAQ,2650,2750,2700,2020-12-06,2020-12
2020-12,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,2020-12-05,2020-12
2020-12,Agra,Achnera,Potato,Desi,FAQ,2800,2880,2840,2020-12-04,2020-12
2020-12,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,2020-12-02,2020-12
2020-12,Agra,Achnera,Potato,Desi,FAQ,2840,2940,2890,2020-12-01,2020-12
2020-11,Agra,Achnera,Potato,Desi,FAQ,2830,2930,2880,2020-11-30,2020-11
2020-11,Agra,Achnera,Potato,Desi,FAQ,3750,3850,3800,2020-11-29,2020-11
2020-11,Agra,Achnera,Potato,Desi,FAQ,2820,2900,2860,2020-11-28,2020-11
2020-11,Agra,Achnera,Potato,Desi,FAQ,2830,2910,2870,2020-11-27,2020-11
2020-11,Agra,Achnera,Potato,Desi,FAQ,2850,2950,2900,2020-11-25,2020-11
2020-11,Agra,Achnera,Potato,Desi,FAQ,2850,2950,2900,2020-11-24,2020-11
2020-11,Agra,Achnera,Potato,Desi,FAQ,2840,2920,2880,2020-11-23,2020-11
2020-11,Agra,Achnera,Potato,Desi,FAQ,2820,2900,2860,2020-11-22,2020-11
2020-11,Agra,Achnera,Potato,Desi,FAQ,2840,2920,2880,2020-11-21,2020-11
2020-11,Agra,Achnera,Potato,Desi,FAQ,2850,2950,2900,2020-11-20,2020-11
2020-11,Agra,Achnera,Potato,Desi,FAQ,2840,2920,2880,2020-11-18,2020-11
2020-11,Agra,Achnera,Potato,Desi,FAQ,2800,2880,2840,2020-11-17,2020-11
2020-11,Agra,Achnera,Potato,Desi,FAQ,2800,2880,2840,2020-11-16,2020-11
2020-11,Agra,Achnera,Potato,Desi,FAQ,2800,2860,2830,2020-11-15,2020-11
2020-11,Agra,Achnera,Potato,Desi,FAQ,2800,2860,2830,2020-11-14,2020-11
2020-11,Agra,Achnera,Potato,Desi,FAQ,2800,2880,2840,2020-11-13,2020-11
2020-11,Agra,Achnera,Potato,Desi,FAQ,2780,2860,2820,2020-11-11,2020-11
2020-11,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,2020-11-10,2020-11
2020-11,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,2020-11-09,2020-11
2020-11,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,2020-11-08,2020-11
2020-11,Agra,Achnera,Potato,Desi,FAQ,2780,2860,2820,2020-11-07,2020-11
2020-11,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,2020-11-06,2020-11
2020-11,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,2020-11-04,2020-11
